n,mean(p_error),std(p_error),mean(s_error),std(s_error)
2,0.7840660000000002,0.14618611713839313,0.7748000000000005,0.12904634826294
4,0.8282120000000002,0.09098051800248226,0.7139,0.16021794531200304
8,0.8939434999999999,0.0643423001045968,0.7997999999999998,0.12267216473185753
16,0.9449525000000005,0.027393181291153482,0.904525,0.046513029088632786
32,0.9644016250000002,0.01845063054943855,0.9344125000000001,0.03459699002442263
64,0.9780382499999999,0.009610935311534423,0.9585062499999999,0.022553217446464244
128,0.9850409375000002,0.005924448838750206,0.974725,0.012720806037747763
256,0.9883451874999999,0.006210188715398238,0.983425,0.008658666179037022
512,0.9909000234375002,0.004664948386678922,0.98873359375,0.005467056601658889
1024,0.9928082695312495,0.0037821165547498015,0.9932105468749997,0.0036185189866825927
2048,0.9940370859375,0.003197059350482693,0.9957636718749999,0.0024387086659286247
4096,0.9958474355468744,0.0023877011742491033,0.9972500976562497,0.0015340389435312047
8192,0.9965124501953123,0.0017207752692174026,0.9982278808593751,0.0009695675396640452
16384,0.9972749699707032,0.001670740612769311,0.9989442871093749,0.0005795785498221689
32768,0.9979687614746093,0.0009604648918045556,0.9993890136718749,0.0003711692925911258
65536,0.9984883604125975,0.0007312567880625358,0.9995882873535155,0.00022775039968167963
