n,gamma,perceptron gamma,svm gamma,perceptron_error,svm_error
100,0.002655801234862825,0.005656615557001033,0.031072427132665906,0.0,0.1
100,0.021560903241866065,0.00824797626457046,0.04397397737572207,0.05,0.0
100,0.0004575368532975716,0.015923330557105483,0.008028990277355376,0.2,0.0
100,0.02816662487588259,0.03212028663946967,0.006977486135036141,0.0,0.0
100,0.015574038118140569,0.006080657199852978,0.057768616627447075,0.15,0.05
100,0.005765021010112812,0.0025951701138393424,0.0005291482353045592,0.0,0.05
100,0.0022474816606464347,0.01192861652350932,0.01099466991073474,0.0,0.1
100,0.004906201911102569,0.006742780523251241,0.0026533538520524093,0.15,0.05
100,0.017530344537458848,0.0028408200295502693,0.008211082731280305,0.0,0.05
100,0.010009766619257867,0.003935723962931275,0.011659969227948085,0.1,0.05
200,0.002655801234862825,0.0065331021333113505,0.014263777698725909,0.0,0.0
200,0.0004575368532975716,0.00026293982805106094,0.00034979177284379825,0.0,0.0
200,0.0016640903411355862,0.002426590141088141,0.003981244176869615,0.05,0.0
200,0.00014158532945117048,0.0020575308941386565,0.017324218401115896,0.0,0.0
200,0.0034303233627297758,0.012000177424696864,0.0026240989615733093,0.0,0.025
200,0.0011861193614819147,0.004136833162918678,6.35785061205517e-05,0.0,0.0
200,0.003294299433653098,0.0021746900119454914,0.0019550825519108403,0.0,0.0
200,0.004912108637299095,0.0004895713541917964,0.007450335300465533,0.0,0.0
200,0.002783957242069034,0.005401635472375794,0.0009388977588370121,0.025,0.025
200,0.001551481715207474,0.014829485507845911,0.002562662972266978,0.1,0.0
300,0.0015482741596814515,0.0016129065106427962,0.007876585180268502,0.0,0.06666666666666667
300,0.0003863044032446174,0.0022258222671572583,0.01132838937632824,0.0,0.0
300,0.0007366247782382496,0.00589304226153801,0.008042330572010179,0.0,0.016666666666666666
300,0.0029545276943787726,0.001420559597876249,0.002537257043849091,0.0,0.0
300,0.0008676870756793091,0.003945563320503676,0.003617151074320176,0.0,0.03333333333333333
300,0.001077112197384643,0.005681349996493292,0.0010312629109628835,0.0,0.016666666666666666
300,0.004406968968356993,0.005233988354483222,0.0008087639353612646,0.0,0.0
300,0.0010586693366607062,0.003142723084504587,0.004393095943741727,0.0,0.0
300,0.0030800577427851305,0.008309938780269364,0.0020463351545645324,0.0,0.06666666666666667
300,0.0033535603609314343,0.012148542744414473,0.005453500497606361,0.0,0.016666666666666666
400,0.0014562578039863615,0.0037779240928721104,0.0018524801513986613,0.0875,0.0125
