n,avg perceptron_error,svm_error
2,0.9000000000000005,0.88
2,0.8400000000000002,0.84
2,0.5284,0.56
2,0.5318,0.78
2,0.7399999999999999,0.66
2,0.7199999999999999,0.76
2,0.7000000000000002,0.68
2,0.9399999999999996,0.92
2,0.7999999999999998,0.8
2,0.52,0.5
2,0.7199999999999999,0.76
2,0.9000000000000005,0.92
2,0.52,0.56
2,0.9200000000000002,0.92
2,0.6800000000000002,0.6
2,0.7199999999999999,0.68
2,0.8199999999999998,0.7
2,0.4600000000000001,0.46
2,0.96,0.92
2,0.7000000000000002,0.66
2,0.7800000000000001,0.8
2,0.8199999999999998,0.76
2,0.7399999999999999,0.76
2,0.7999999999999998,0.68
2,0.86,0.66
2,0.7600000000000001,0.66
2,0.9200000000000002,0.88
2,0.66,0.68
2,0.9399999999999996,0.92
2,0.7800000000000001,0.74
2,0.9800000000000004,0.92
2,0.52,0.52
2,0.66,0.62
2,0.66,0.62
2,0.581,0.94
2,0.8199999999999998,0.78
2,0.9800000000000004,0.96
2,1.0,1.0
2,0.7306000000000004,0.94
2,0.9000000000000005,0.9
2,0.7999999999999998,0.78
2,0.88,0.7
2,0.9399999999999996,0.94
2,0.7999999999999998,0.78
2,0.9000000000000005,0.9
2,0.9800000000000004,0.82
2,0.7600000000000001,0.72
2,0.6199999999999999,0.6
2,0.9399999999999996,0.8
2,0.9000000000000005,0.76
2,0.54,0.6
2,0.8400000000000002,0.82
2,0.9200000000000002,0.94
2,0.88,0.86
2,0.7199999999999999,0.76
2,0.7800000000000001,0.78
2,1.0,0.94
2,0.8199999999999998,0.86
2,0.6800000000000002,0.7
2,0.66,0.66
2,1.0,0.82
2,0.9399999999999996,0.94
2,0.8200000000000002,0.9
2,0.7800000000000001,0.78
2,0.96,0.9
2,0.58,0.66
2,0.5,0.58
2,0.7800000000000001,0.78
2,0.9800000000000004,0.84
2,0.7000000000000002,0.74
2,0.66,0.7
2,0.88,0.96
2,0.9000000000000005,0.7
2,0.7399999999999999,0.76
2,0.7000000000000002,0.6
2,0.7000000000000002,0.6
2,0.7199999999999999,0.7
2,0.7000000000000002,0.68
2,0.7104000000000003,0.86
2,0.9000000000000005,0.88
2,0.3999999999999999,0.62
2,0.7999999999999998,0.82
2,0.9000000000000005,0.88
2,0.8400000000000002,0.84
2,0.9399999999999996,0.94
2,0.5768,0.54
2,0.9200000000000002,0.92
2,0.9200000000000002,0.9
2,0.9800000000000004,1.0
2,0.5476,0.58
2,0.7399999999999999,0.76
2,0.88,0.78
2,0.96,0.98
2,0.96,0.94
2,0.7600000000000001,0.68
2,0.6399999999999999,0.78
2,0.6399999999999999,0.64
2,0.9200000000000002,0.9
2,1.0,0.9
2,0.56,0.68
4,0.8029999999999999,0.51
4,0.8019,0.73
4,0.7851999999999998,0.86
4,0.8943000000000003,0.58
4,0.8775,0.79
4,0.8759999999999999,0.66
4,0.7406000000000001,0.54
4,0.6594,0.55
4,0.7532000000000001,0.53
4,0.839,0.51
4,0.7898999999999999,0.74
4,0.711,0.53
4,0.7959999999999999,0.65
4,0.9078,0.53
4,0.9338,0.89
4,0.9201999999999998,0.87
4,0.8857,0.91
4,0.6930000000000001,0.51
4,0.6301999999999999,0.44
4,0.8702,0.93
4,0.8931999999999999,0.81
4,0.8511999999999997,0.79
4,0.9087,0.9
4,0.9287000000000001,0.86
4,0.7384,0.41
4,0.8643,0.64
4,0.9311000000000001,0.95
4,0.6294,0.47
4,0.7874,0.7
4,0.8799999999999999,0.49
4,0.9709999999999998,0.97
4,0.9727999999999999,0.56
4,0.7583999999999999,0.69
4,0.8897000000000003,0.93
4,0.8754000000000002,0.82
4,0.6558999999999999,0.71
4,0.7626,0.81
4,0.9304000000000002,0.91
4,0.9407999999999999,0.85
4,0.8685999999999996,0.64
4,0.8201999999999999,0.77
4,0.6968,0.69
4,0.7879999999999998,0.84
4,0.7721999999999999,0.69
4,0.7319999999999999,0.93
4,0.7604000000000002,0.65
4,0.7684000000000001,0.74
4,0.9344999999999999,0.93
4,0.7033000000000001,0.67
4,0.975,0.93
4,0.7969000000000002,0.54
4,0.8987999999999999,0.69
4,0.963,0.85
4,0.8810999999999999,0.58
4,0.8650999999999999,0.67
4,0.7804000000000003,0.74
4,0.8887999999999999,0.72
4,0.9046000000000002,0.97
4,0.8788000000000001,0.5
4,0.7794000000000001,0.68
4,0.7830000000000003,0.86
4,0.8160000000000003,0.96
4,0.8028,0.68
4,0.9732999999999999,0.97
4,0.8140000000000001,0.5
4,0.7091000000000001,0.86
4,0.6626000000000002,0.57
4,0.7944999999999999,0.88
4,0.8589999999999999,0.82
4,0.8935000000000002,0.49
4,0.7324999999999997,0.67
4,0.8730000000000001,0.82
4,0.7141,0.52
4,0.7857999999999999,0.81
4,0.9200000000000002,0.53
4,0.8927999999999998,0.82
4,0.9258,0.59
4,0.7070000000000001,0.67
4,0.6083,0.47
4,0.7592,0.53
4,0.8234,0.54
4,0.8212999999999998,0.86
4,0.9857,0.83
4,0.7810000000000001,0.81
4,0.8117000000000002,0.87
4,0.7988,0.89
4,0.8687,0.82
4,0.8011000000000001,0.54
4,0.9852000000000001,0.95
4,0.8033999999999999,0.82
4,0.8508,0.51
4,0.8058000000000001,0.83
4,0.8841000000000001,0.69
4,0.9187000000000001,0.88
4,0.7697000000000002,0.42
4,0.695,0.57
4,0.723,0.44
4,0.9369,0.78
4,0.9594,0.51
4,0.9776,0.86
8,0.71005,0.49
8,0.8367499999999999,0.73
8,0.9195499999999999,0.855
8,0.8989499999999999,0.9
8,0.9419999999999998,0.975
8,0.8903499999999999,0.88
8,0.89695,0.81
8,0.88055,0.49
8,0.9335499999999999,0.96
8,0.9561499999999998,0.905
8,0.8256,0.81
8,0.9601,0.955
8,0.9783,0.92
8,0.9149,0.82
8,0.8669499999999998,0.885
8,0.9530500000000001,0.68
8,0.8960000000000002,0.83
8,0.87605,0.79
8,0.9235999999999999,0.44
8,0.94505,0.72
8,0.9669999999999999,0.79
8,0.8177000000000002,0.74
8,0.8941,0.905
8,0.92085,0.795
8,0.8661999999999999,0.92
8,0.8875000000000002,0.82
8,0.90815,0.84
8,0.9261999999999999,0.765
8,0.8925,0.895
8,0.9370999999999999,0.685
8,0.91935,0.74
8,0.8299500000000001,0.855
8,0.9383999999999999,0.85
8,0.9155999999999997,0.9
8,0.9157500000000002,0.81
8,0.8914499999999999,0.825
8,0.9482499999999999,0.86
8,0.92885,0.89
8,0.8519000000000001,0.535
8,0.9257000000000001,0.91
8,0.9225500000000001,0.77
8,0.9284,0.9
8,0.9250499999999999,0.92
8,0.9030500000000002,0.535
8,0.7514,0.685
8,0.8937999999999999,0.835
8,0.9516500000000001,0.93
8,0.7642500000000001,0.805
8,0.88315,0.785
8,0.75735,0.745
8,0.9152499999999998,0.95
8,0.8906500000000003,0.9
8,0.9623499999999998,0.535
8,0.9513500000000004,0.865
8,0.8550500000000001,0.825
8,0.9375500000000001,0.865
8,0.8892499999999999,0.88
8,0.9736500000000001,0.855
8,0.8301500000000002,0.79
8,0.7395,0.69
8,0.9225,0.635
8,0.9375499999999998,0.79
8,0.9522499999999998,0.83
8,0.9588499999999999,0.88
8,0.7865000000000002,0.77
8,0.93785,0.895
8,0.7963500000000002,0.82
8,0.8106500000000001,0.715
8,0.7455499999999999,0.74
8,0.9521,0.905
8,0.89215,0.765
8,0.9108999999999999,0.8
8,0.91105,0.87
8,0.9416999999999999,0.6
8,0.8311999999999999,0.775
8,0.9914499999999998,0.55
8,0.8657,0.835
8,0.6984499999999998,0.74
8,0.8817499999999999,0.76
8,0.95205,0.815
8,0.9205999999999999,0.785
8,0.9007000000000001,0.775
8,0.9227000000000001,0.8
8,0.8827000000000002,0.54
8,0.9544999999999999,0.91
8,0.9100999999999999,0.95
8,0.7775500000000001,0.46
8,0.7301000000000002,0.645
8,0.8624499999999999,0.855
8,0.959,0.84
8,0.9062,0.925
8,0.9457000000000001,0.845
8,0.97705,0.71
8,0.9071500000000001,0.955
8,0.8745,0.84
8,0.9358,0.985
8,0.9363000000000001,0.94
8,0.9485000000000001,0.955
8,0.8007,0.645
8,0.9531500000000002,0.89
16,0.9317750000000002,0.935
16,0.9434500000000001,0.91
16,0.9474750000000001,0.915
16,0.9516499999999999,0.7825
16,0.9536249999999998,0.93
16,0.9426249999999997,0.8875
16,0.9300499999999998,0.9575
16,0.8959499999999998,0.855
16,0.9615000000000002,0.875
16,0.9587250000000002,0.89
16,0.9821500000000003,0.8425
16,0.9672249999999998,0.905
16,0.92255,0.9475
16,0.9707499999999999,0.965
16,0.9719249999999999,0.965
16,0.975875,0.8425
16,0.9207000000000001,0.91
16,0.9524750000000001,0.9225
16,0.8995250000000001,0.84
16,0.9658500000000001,0.94
16,0.9726750000000003,0.93
16,0.9149499999999999,0.915
16,0.9127000000000001,0.9
16,0.9437249999999999,0.9075
16,0.9036750000000001,0.8825
16,0.980875,0.9225
16,0.9136249999999998,0.905
16,0.9633500000000003,0.92
16,0.9634249999999999,0.9275
16,0.912275,0.8875
16,0.9756,0.93
16,0.9567749999999999,0.8725
16,0.8913,0.8675
16,0.9381499999999999,0.8525
16,0.9437250000000001,0.95
16,0.9611500000000001,0.915
16,0.9405500000000001,0.905
16,0.936975,0.9375
16,0.9454250000000002,0.8425
16,0.9372499999999999,0.88
16,0.9250999999999999,0.9025
16,0.9637,0.985
16,0.8978,0.9175
16,0.963425,0.985
16,0.9765250000000001,0.9425
16,0.952925,0.8725
16,0.9635499999999999,0.985
16,0.945475,0.97
16,0.939775,0.9125
16,0.9310249999999999,0.9025
16,0.9731000000000002,0.9225
16,0.9339749999999999,0.95
16,0.9324499999999999,0.9775
16,0.9488750000000001,0.8725
16,0.9676750000000002,0.91
16,0.9464750000000001,0.83
16,0.9130999999999999,0.795
16,0.9316000000000001,0.9125
16,0.9205749999999998,0.8875
16,0.969375,0.91
16,0.9818749999999998,0.965
16,0.961225,0.87
16,0.8956500000000002,0.8125
16,0.9359500000000002,0.89
16,0.9311250000000001,0.89
16,0.9419249999999999,0.91
16,0.9797500000000002,0.9625
16,0.9584750000000001,0.975
16,0.9404249999999998,0.9075
16,0.9669750000000001,0.96
16,0.9245749999999999,0.8825
16,0.9828500000000001,0.925
16,0.929775,0.91
16,0.957975,0.975
16,0.94585,0.845
16,0.9733750000000001,0.925
16,0.9624500000000001,0.9325
16,0.954575,0.9275
16,0.9807499999999999,0.9225
