n,avg perceptron_error,svm_error
2,0.725,0.625
2,0.875,0.625
2,0.875,0.75
2,0.86,0.875
2,0.75,0.75
2,1.0,0.875
2,1.0,1.0
2,0.875,0.75
2,1.0,1.0
2,1.0,1.0
2,1.0,0.875
2,1.0,0.875
2,0.875,0.875
2,0.75,0.75
2,0.75,0.625
2,1.0,1.0
2,1.0,1.0
2,0.75,0.625
2,1.0,0.75
2,1.0,0.75
2,0.75,0.75
2,1.0,1.0
2,0.5775,0.375
2,0.875,0.875
2,0.75,0.75
2,1.0,1.0
2,1.0,1.0
2,1.0,0.875
2,0.875,0.75
2,0.75,0.75
2,1.0,1.0
2,1.0,0.875
2,0.875,0.875
2,0.75,0.625
2,0.75,0.75
2,0.875,0.875
2,0.5025,1.0
2,1.0,1.0
2,0.75,0.75
2,1.0,1.0
2,0.75,0.875
2,0.75,0.625
2,1.0,0.75
2,0.75,0.75
2,0.875,0.875
2,0.875,0.625
2,0.625,0.5
2,0.625,0.75
2,0.5,0.625
2,0.875,0.625
2,0.5,0.25
2,0.75,0.75
2,0.375,0.375
2,0.875,0.875
2,1.0,0.75
2,1.0,0.875
2,0.875,0.75
2,0.625,0.75
2,1.0,1.0
2,0.875,0.625
2,0.625,0.625
2,1.0,1.0
2,0.75,0.5
2,0.495,1.0
2,0.875,0.875
2,0.485,0.5
2,0.875,1.0
2,0.875,0.875
2,1.0,1.0
2,0.75,0.75
2,0.75,0.75
2,0.625,0.375
2,0.75,0.625
2,1.0,0.75
2,0.75,0.875
2,1.0,0.625
2,0.875,0.875
2,0.84,1.0
2,0.875,0.75
2,0.5,0.375
2,0.75,0.75
2,1.0,0.5
2,0.75,0.75
2,1.0,1.0
2,0.5,0.75
2,0.555,0.625
2,1.0,0.625
2,0.75,0.75
2,0.75,0.75
2,0.875,0.625
2,0.625,0.625
2,0.75,0.75
2,0.375,0.5
2,0.625,0.625
2,0.375,0.375
2,0.5,0.625
2,1.0,0.75
2,1.0,1.0
2,0.75,0.75
2,0.75,0.75
4,0.79875,0.5
4,0.873125,0.4375
4,1.0,0.6875
4,0.625,0.5625
4,0.675,0.75
4,1.0,0.8125
4,0.763125,0.75
4,0.871875,0.4375
4,0.850625,0.9375
4,0.824375,0.8125
4,0.64875,0.625
4,0.893125,0.9375
4,0.644375,0.625
4,0.806875,0.75
4,0.815625,0.75
4,0.82875,0.75
4,0.9175,0.875
4,0.915625,0.5625
4,0.8475,0.8125
4,0.740625,0.9375
4,0.700625,0.375
4,0.78125,0.5
4,0.8125,0.8125
4,0.958125,0.5625
4,0.945625,0.4375
4,0.89,0.875
4,0.81875,0.625
4,0.836875,0.4375
4,0.99875,0.9375
4,0.918125,0.1875
4,0.8925,0.8125
4,0.9225,0.625
4,0.8625,0.75
4,0.748125,0.6875
4,0.95875,0.6875
4,0.833125,0.8125
4,0.806875,0.625
4,0.824375,0.6875
4,0.94125,0.875
4,0.814375,0.8125
4,0.866875,0.5625
4,0.7925,0.875
4,0.9375,0.75
4,0.888125,0.4375
4,0.72875,0.75
4,0.82,0.8125
4,0.73625,0.5
4,0.87375,1.0
4,0.919375,0.875
4,0.915,0.8125
4,0.770625,0.8125
4,1.0,0.5625
4,0.848125,0.625
4,0.95125,1.0
4,0.9075,0.8125
4,0.815625,0.75
4,0.58625,0.6875
4,0.73375,0.8125
4,0.815,0.5625
4,0.9375,0.625
4,0.6875,0.75
4,0.985625,0.625
4,0.854375,0.8125
4,0.875,0.9375
4,0.79,0.5625
4,0.778125,0.75
4,0.72875,0.75
4,0.63,0.8125
4,0.86875,0.9375
4,0.76,0.6875
4,0.7125,0.625
4,0.86,0.9375
4,0.8075,0.6875
4,0.97125,1.0
4,0.89,0.875
4,0.625,0.625
4,0.880625,0.5625
4,0.6925,0.75
4,0.48375,0.5625
4,0.913125,0.6875
4,0.74125,0.875
4,0.92125,0.875
4,0.9375,0.3125
4,1.0,0.5
4,0.625,0.625
4,0.78875,0.875
4,0.784375,0.5625
4,0.803125,0.4375
4,0.71375,0.6875
4,1.0,0.625
4,0.85,0.625
4,0.901875,0.875
4,0.950625,0.9375
4,0.95375,0.5625
4,0.8125,0.5625
4,0.935625,1.0
4,0.7675,0.5625
4,0.966875,0.75
4,0.709375,0.6875
4,1.0,1.0
8,0.9265625,0.5
8,0.8984375,0.875
8,0.86,0.75
8,0.886875,0.78125
8,0.9309375,1.0
8,0.9446875,0.875
8,0.9084375,0.90625
8,0.973125,0.75
8,0.9415625,0.8125
8,0.8684375,0.875
8,0.8725,0.71875
8,0.8446875,0.90625
8,0.975625,0.4375
8,0.8865625,0.84375
8,0.8178125,0.9375
8,0.8878125,0.96875
8,0.884375,0.9375
8,0.850625,0.90625
8,0.9246875,0.96875
8,0.936875,0.46875
8,0.7371875,0.75
8,0.95,0.75
8,0.6940625,0.625
8,0.9359375,0.6875
8,0.91,0.71875
8,0.875,0.8125
8,0.7190625,0.5
8,0.73,0.8125
8,0.9509375,0.9375
8,0.945625,0.84375
8,0.8828125,0.8125
8,0.935625,0.84375
8,0.92875,0.90625
8,0.95625,0.625
8,0.919375,0.65625
8,0.8625,0.84375
8,0.97,0.96875
8,0.97125,0.90625
8,0.9334375,0.84375
8,0.85875,0.875
8,0.905625,0.96875
8,0.938125,0.9375
8,0.7646875,0.90625
8,0.8578125,0.9375
8,0.854375,0.75
8,0.8290625,0.75
8,0.956875,1.0
8,0.815625,0.5
8,0.84625,0.75
8,0.944375,0.90625
8,0.739375,0.90625
8,0.8446875,0.84375
8,0.84625,0.875
8,0.964375,0.875
8,0.9178125,0.96875
8,0.8815625,0.78125
8,0.881875,0.71875
8,0.9596875,0.53125
8,0.9034375,0.96875
8,0.926875,0.75
8,0.9728125,0.84375
8,0.81875,0.84375
8,0.8865625,0.5
8,0.82875,0.84375
8,0.9875,0.8125
8,0.8353125,0.84375
8,0.925625,1.0
8,0.7890625,0.875
8,0.9578125,0.875
8,0.9509375,0.96875
8,0.9225,0.875
8,0.898125,0.90625
8,0.894375,0.4375
8,0.984375,0.9375
8,0.951875,0.84375
8,0.9953125,0.90625
8,0.8503125,0.75
8,0.8409375,0.5625
8,0.994375,1.0
8,0.844375,0.8125
8,0.8509375,0.875
8,0.90125,0.9375
8,0.9671875,0.9375
8,0.95375,0.78125
8,0.7271875,0.53125
8,0.6740625,0.59375
8,0.89625,0.90625
8,0.84625,0.71875
8,0.905,0.8125
8,0.7071875,0.8125
8,0.8434375,0.71875
8,0.8496875,0.75
8,0.968125,1.0
8,0.8990625,0.90625
8,0.971875,0.96875
8,0.97625,0.96875
8,0.9853125,1.0
8,0.859375,0.84375
8,0.961875,0.84375
8,0.9684375,0.78125
16,0.94765625,0.9375
16,0.95484375,0.96875
16,0.93421875,0.90625
16,0.975,0.9375
16,0.91421875,0.859375
16,0.9365625,0.921875
16,0.93296875,0.921875
16,0.9515625,0.875
16,0.98984375,0.9375
16,0.98859375,0.953125
16,0.9328125,0.9375
16,0.95546875,0.953125
16,0.8953125,0.875
16,0.978125,0.859375
16,0.82578125,0.890625
16,0.95953125,0.859375
16,0.959375,0.9375
16,0.94765625,0.921875
16,0.94578125,0.90625
16,0.95890625,0.859375
16,0.96703125,0.890625
16,0.94859375,0.953125
16,0.96046875,1.0
16,0.9403125,0.921875
16,0.92609375,0.953125
16,0.96421875,1.0
16,0.651875,0.640625
16,0.95203125,0.859375
16,0.92375,0.859375
16,0.96046875,0.984375
16,0.7271875,0.5
16,0.91609375,0.984375
16,0.9690625,0.828125
16,0.966875,0.96875
16,0.92546875,0.859375
16,0.94828125,0.953125
16,0.97171875,0.90625
16,0.9528125,0.875
16,0.9715625,0.953125
16,0.9434375,0.90625
16,0.98015625,0.953125
16,0.85625,0.78125
16,0.98609375,0.9375
16,0.91421875,0.859375
