n,gamma,perceptron_weights,svm_weights,perceptron_error,svm_error,svm/percp
5,0.3452890096562233,[-0.85470855  1.02008788],[-2.71542319  0.12500435],0.0,0.0,2.0425605626612966
5,0.0514166806416977,[ 1.15478411 -0.98899938],[ 2.19476136 -1.87571009],0.0,0.0,1.8988866985812107
5,0.0037019045719039337,[ 0.69264489 -1.19386069],[-0.72578922 -1.43468974],0.0,0.0,1.1648894214342844
5,0.38726541436513773,[-0.6581976   0.89356306],[ 1.2197437  -1.95841677],0.0,0.0,2.078913571089885
5,0.1633787484259451,[ 0.3098029  -0.90679511],[1.69948696 0.6589678 ],0.0,0.0,1.9021748490104957
5,0.7108519363126137,[-0.40818258  0.35255485],[ 1.60263095 -1.23462154],0.0,1.0,3.7508356264934064
5,0.1502296782256606,[-0.97993709  0.92424109],[-0.23514465  1.8855956 ],0.0,1.0,1.4106564378449962
5,0.5900406536558539,[ 0.07125884 -0.70077722],[-2.24845747  1.94780498],0.0,0.0,4.223239982470817
5,0.19736526151065562,[ 0.69246001 -0.07486491],[1.21659743 0.49922621],0.0,0.0,1.8880850313244983
5,0.3771771742180291,[ 0.40948032 -1.83669606],[-0.47697775 -2.09931504],0.0,0.0,1.1440285886029706
5,0.20481950025434728,[-0.45402315  1.57128947],[-0.60635642  1.32179533],0.0,0.0,0.8891330938545774
5,0.32392833134954374,[-0.73087081  0.39472757],[-1.71849    -0.83264608],0.0,1.0,2.2988978222780627
5,0.8316186755778602,[ 1.05133316 -0.49581284],[1.87634429 1.02674508],0.0,1.0,1.8400968508802966
5,0.1829562736157574,[-1.95408155 -1.48826419],[-1.63914136 -2.23730474],0.0,0.0,1.1291425743728802
5,0.6442358464500951,[0.27272005 0.37864147],[-1.06051485 -2.01951105],0.0,0.0,4.888291503467889
5,0.7223571726556911,[-0.71548084 -0.22723485],[-2.53078353  0.14926614],1.0,1.0,3.377096088112798
5,1.9472969119132355,[-0.17658569 -0.06670434],[-2.6305925  -1.19940022],0.0,0.0,15.316031479330684
5,0.2101810830250495,[0.00553766 0.19805953],[-3.15602386  0.17426137],1.0,0.0,15.952761642850126
5,0.25184042876580703,[0.5552565  0.14345263],[ 1.11435199 -1.8486492 ],0.0,1.0,3.763875925146105
5,0.22507544725777914,[-0.87259987 -0.69902777],[-1.38356167 -0.42043155],0.0,1.0,1.2933330254939914
5,0.015521051293858158,[-0.53460862 -1.32356131],[-0.57895282 -0.37516518],0.0,0.0,0.48329495062645156
5,0.012885465147914894,[-1.44300597  0.16620705],[-3.20955122 -0.43587835],0.0,0.0,2.2298864996682792
5,0.15842912580315333,[-0.4868404 -0.1326745],[-0.74412435  0.8794462 ],0.0,0.0,2.2830558391838203
5,0.0764896710059314,[1.37139784 0.56232474],[ 2.77244001 -0.52055022],0.0,0.0,1.903164280572458
5,0.4142816977798571,[ 0.01814974 -0.28246024],[-0.56378016 -1.33938507],0.0,0.0,5.134219111563552
5,2.362065389790315,[0.05970083 0.41514278],[ 1.18249053 -0.08675584],0.0,1.0,2.826968288742279
5,0.03599204183325209,[ 0.60803838 -1.03878356],[-1.07393247 -2.57768975],0.0,0.0,2.3199838378185222
5,0.4547664411872018,[-0.71822454  0.85582808],[1.71326365 1.36129592],0.0,0.0,1.958563829741295
5,1.0071202312844478,[ 0.15758024 -0.30241372],[-1.09132203 -0.47967858],0.0,0.0,3.4957921086564023
5,0.17604120939837853,[1.4239382  0.83276484],[2.18122417 2.25766618],0.0,0.0,1.9030569054533075
5,0.02039010968681277,[-0.14554699 -2.04724163],[-1.56346368 -0.33397575],0.0,0.0,0.7789561498455537
5,0.4021396956442565,[-0.30780656  0.2576761 ],[-0.94705948  2.40520246],0.0,0.0,6.439415972192583
5,0.36688009380359643,[ 0.6584196  -0.52172563],[-1.18124688 -3.06392141],0.0,1.0,3.908900375465858
5,0.28958386943228526,[-1.56636107 -0.80841661],[-1.98398183 -0.09344571],0.0,0.0,1.1267992453304467
5,0.6587079510701305,[-0.35020977 -0.51478279],[-1.87900311  0.5678973 ],0.0,0.0,3.152750743891019
5,0.5436436905421124,[0.44367875 0.82973393],[1.54870542 0.19462758],0.0,1.0,1.658914424511285
5,1.6823365226940257,[-0.10053421 -0.88936209],[ 0.10049054 -1.69119876],0.0,0.0,1.8928848366905178
5,2.702064245860071,[-0.37404957  0.19524574],[-2.29194233 -2.06061292],0.0,0.0,7.304497711122216
5,0.7105969838149889,[-0.59066773 -0.4672119 ],[-3.03297207  1.31709926],0.0,1.0,4.390604477790134
5,0.09518598781765723,[0.39860424 1.19406247],[-0.64714165  2.88386384],0.0,0.0,2.347866901997313
5,0.14710381567249342,[ 0.68568623 -0.02973623],[-2.4544039   0.66296207],0.0,1.0,3.7042848674024977
5,0.13904605240246198,[-0.59782024 -0.27570433],[-1.22693471 -0.74135932],0.0,1.0,2.177502403430002
5,0.05037140364235724,[ 1.6209384  -3.53884672],[ 1.13101656 -0.32098941],1.0,1.0,0.30204502206498424
5,0.09543004713053024,[-1.19652027  0.05804474],[-1.23108287 -0.22105552],0.0,0.0,1.0441133897317814
5,2.2559916184827955,[0.0628726  0.22397551],[-1.18549923  1.93323433],0.0,0.0,9.748305242282939
5,0.915662243589428,[-0.09538489 -0.17792801],[-2.79448375 -1.40219422],0.0,1.0,15.486936657560552
5,0.18256382146168101,[-0.417184    0.25888232],[-0.23469278  2.53967746],0.0,0.0,5.194696669986645
5,0.13473484153246834,[ 0.32683193 -0.25294985],[-1.93405451 -1.48014152],0.0,0.0,5.892921684081626
5,0.0754967890045347,[0.19059065 1.20220602],[-1.67232599  2.9617914 ],0.0,0.0,2.794323528702293
5,0.9354751881446234,[0.5878951  0.15932471],[2.82857862 1.36312146],0.0,0.0,5.154963544017711
5,0.01667749488410442,[-0.68153724  0.24467833],[-1.09696111  0.72633563],0.0,0.0,1.8168513420988464
5,0.46649516991660955,[-0.31441765  0.54266077],[0.44483636 2.06572109],0.0,1.0,3.369233947719787
5,0.15528725532795037,[ 0.20941836 -0.8481137 ],[-0.10423261  1.62940075],0.0,1.0,1.8689983500994516
5,0.22422112618678003,[0.20256456 0.20352374],[-0.76876496  1.86817661],1.0,0.0,7.035274535146661
5,0.0745553770445345,[0.41263535 1.59178373],[0.94979817 1.52233216],0.0,1.0,1.0911763036772006
5,0.17039937893207985,[-1.22788056 -0.07928961],[-2.69099749  0.77060031],0.0,0.0,2.2749292240033374
5,0.06124403141351828,[-1.47137474  0.50318429],[-1.60400087  1.64373004],0.0,1.0,1.476920058443482
5,0.07132801786482577,[1.37803564 0.03336974],[1.87139401 0.16297463],1.0,1.0,1.362756192506151
5,0.4990581635533413,[0.76739759 0.87424506],[1.27672052 1.57232741],0.0,1.0,1.7411187264080656
5,0.05780904245673317,[ 0.68864329 -0.14704405],[ 1.91330366 -0.55223439],0.0,0.0,2.828028300082872
5,0.3718365869340578,[-1.09299417  1.02140486],[-2.088738    1.04683338],0.0,0.0,1.5617925183191552
5,0.21188756079231252,[-0.61846941 -0.07309741],[-1.70607922  2.42018619],0.0,1.0,4.754664514540055
5,0.023177281385007815,[0.51973786 3.20496291],[-0.4805793   1.04957509],0.0,0.0,0.3555366225050995
5,0.48301973039423535,[-0.38384008  0.96676123],[-0.02458738  2.23468483],0.0,1.0,2.148507470329588
5,0.12638458020450166,[-1.26102226 -0.72801488],[-3.17889501 -0.18802746],0.0,0.0,2.186995589682828
5,0.12947624480418454,[0.72245158 1.63048149],[-0.7073541   1.39033404],0.0,0.0,0.8747088979349569
5,0.11517289238006352,[-0.62995994  1.49659686],[-0.32192837  1.28396687],1.0,1.0,0.8152044605012538
5,0.256213444347355,[-1.33471105  0.14116368],[-2.43559369  1.68474053],0.0,0.0,2.2065237390996986
5,0.21213436523373017,[-0.74372574 -1.99802714],[-1.05949513 -2.06593201],1.0,0.0,1.0890312081223152
5,0.04832303377721588,[-0.63217165 -0.47114878],[ 0.55155796 -0.78604165],0.0,0.0,1.2179248869042503
5,0.008977463783066103,[-1.32153223 -0.42427197],[-2.97358244 -0.38365184],0.0,0.0,2.160158228866755
5,0.3707660753320648,[ 0.12729763 -0.48816342],[0.40518339 0.80977507],0.0,1.0,1.794865818219683
5,0.020381371503952445,[ 0.74294144 -0.86001355],[ 0.77684292 -1.65475881],0.0,1.0,1.6085069534464111
5,0.24050836022122843,[-0.02553811 -0.30103836],[ 0.80098057 -1.42279164],0.0,0.0,5.404349419662027
5,0.30275380039396893,[ 0.98440952 -1.35309344],[ 0.46893733 -2.35412381],0.0,0.0,1.4345180374311064
5,0.022731237317840113,[1.27145783 0.59626533],[1.5363852  0.20959823],0.0,0.0,1.1041695473006845
5,0.11162387138048614,[-0.2992783  -0.95260717],[ 1.34087426 -0.51126419],1.0,1.0,1.4371755665970047
5,0.6984128994380527,[0.68854383 0.47711903],[1.32175377 1.65685649],0.0,0.0,2.530132305511756
5,0.950466858167541,[-0.22925    -0.24373725],[-0.81055535 -1.48654684],0.0,0.0,5.060136960989467
5,0.048937870696972544,[-0.71386673 -0.4148283 ],[-1.99944413  0.00399039],0.0,0.0,2.421682705675193
5,0.009288930242417927,[-0.07812937 -1.36112967],[-1.5220006  -0.52187077],0.0,0.0,1.1801532206559264
5,1.6847502849973661,[-0.00304745  0.01151021],[-3.54293471  0.53522738],0.0,0.0,300.93194221997254
5,0.5375004290427021,[0.75817459 1.41791218],[-0.59402156  1.21254794],0.0,0.0,0.8397568022120145
5,0.7429002021907731,[0.09040764 0.36720163],[ 1.98458979 -1.74547803],0.0,1.0,6.988889049153765
5,0.013401802252092634,[ 0.78418634 -0.85376136],[2.37203433 0.00453107],1.0,0.0,2.0461868315751515
5,4.006218459252958,[-0.11074704 -0.68360912],[-0.27507716 -1.0047588 ],0.0,1.0,1.5042604152968109
