n,gamma,perceptron gamma,svm gamma,perceptron_error,svm_error
100,0.005310778010163043,0.0011587305966364204,0.017209616372363252,0.0,0.0
100,0.005477549649346732,0.015036109184763152,0.0016272268263014889,0.05,0.0
100,0.039155302231467286,0.014172760311442963,0.01624325571737574,0.0,0.05
100,0.008271251883054232,0.001840001815135847,0.00821404337881506,0.0,0.05
100,0.0001626875676013004,0.004371560109205924,0.008991405657334728,0.1,0.05
100,0.015539530776141735,0.027066612474872312,0.01780965093904246,0.0,0.0
100,0.0007940048306674141,0.0036141312956348265,0.026819217040895463,0.05,0.05
100,0.017522080606044967,0.04015129282508823,0.030236590316413594,0.0,0.0
100,0.030811552473289504,0.01759147486250089,0.03734867303543029,0.0,0.0
100,0.007628877779957036,0.023362085190260725,0.011789022056181408,0.0,0.1
100,0.022309516622698908,0.023215083738896213,0.006328797393987363,0.0,0.0
100,0.006431325591870359,0.03244300213964395,0.004153362716922895,0.05,0.1
100,0.0019166338165430238,0.003986111253682129,0.0005561854703456591,0.0,0.05
100,0.02429279574840028,0.016604622009466618,0.000615090620676164,0.0,0.1
100,0.041946054121185496,0.03093202479792984,0.021154572447203465,0.0,0.0
100,0.007380101327154179,0.0010114921636066548,0.01760294945917245,0.2,0.15
100,0.0008746928617709074,0.0001672937709435662,0.013712177685869492,0.05,0.1
100,0.02182488071626614,0.023694401702447746,0.014280040662943501,0.0,0.0
100,0.017809831464133886,0.02115362229739084,0.015317725437619082,0.0,0.0
100,0.0056603259415995985,0.005292255338634271,0.008797939179131391,0.0,0.05
100,0.0012579200965957995,0.010348044377820241,0.004523819424027368,0.0,0.0
100,0.006548532270161298,0.0029452583991862627,0.013942619212843744,0.05,0.05
100,0.012246899803952719,0.0018944790351898653,0.0019500822120208437,0.15,0.1
100,0.011508717870793075,0.031150505217177802,0.008045739429623907,0.0,0.05
100,0.002724204531239097,0.0016418528354762898,0.0010557688764200675,0.0,0.05
100,0.0037014717867230673,0.0015986417325251465,0.028181014769399656,0.0,0.1
100,0.0017335335291628817,0.02123436470074759,0.00466945482703477,0.2,0.0
100,0.00045291361487196063,0.0006435041546004098,0.005066601223308062,0.1,0.05
100,0.0009606880670365587,0.002277134259539809,0.04725679250934768,0.05,0.05
100,0.04839844641730763,0.0556243590243585,0.010100582172723803,0.0,0.0
100,0.0012372003503662206,0.003164447620038291,0.006301098936475844,0.0,0.05
100,0.008277800518871527,0.007550636669478482,0.02937658372565988,0.0,0.05
100,0.013379361322003819,0.016564135616953447,0.006615113073406072,0.0,0.0
100,0.016495081675520246,0.010353434229597515,0.03238149034892209,0.1,0.15
100,0.0007947569416143263,0.012901775045040299,0.03362233712440198,0.0,0.05
100,0.008537057251844836,0.017036093790817147,0.0030483568195763537,0.05,0.0
100,0.007351841191201269,0.005063843703989553,0.010877547984257649,0.0,0.05
100,0.009377278175414228,0.014976551137468794,8.235600460651516e-05,0.0,0.0
100,0.0035195083992966667,0.01783069642280591,0.011111238742197858,0.05,0.1
100,0.005167999377700236,0.025599192948353756,0.029605441264266532,0.05,0.05
100,0.014736208949193468,0.015129380806379029,0.010345175028882684,0.0,0.05
100,0.0030423470936544812,0.0004149336903757578,0.0014687112049733624,0.15,0.05
100,0.02472120300150272,0.020967317178986273,0.002356279030438799,0.0,0.05
100,0.0007175098550446126,0.00041750828031039233,0.025118911752907258,0.0,0.0
100,0.006028367902218462,7.317954553589671e-05,0.03364356555841129,0.0,0.05
100,0.007683152490671489,0.005815560594877496,0.003054669264902164,0.0,0.0
100,0.0034973368991300787,0.009994338055931484,0.0012170276787042949,0.0,0.05
100,0.007687609823010864,0.022192104996680704,0.008932543382337736,0.05,0.0
100,0.006876430955141777,0.006251485688391508,0.02013363005646022,0.0,0.0
100,0.0006321306693221803,0.0004483365347196081,0.002961940366265815,0.0,0.0
100,0.0021908683130790556,0.0035057943821884974,0.0048170327781865765,0.0,0.05
100,0.010026267520184892,0.008907190707138283,0.001978283204897887,0.0,0.0
100,0.0016938864345482718,0.01503650392844992,0.014292621484589003,0.05,0.2
100,0.04266077421183663,0.007446774819502801,0.00481781109424437,0.0,0.0
100,0.011102415004554844,0.0030090308873958363,0.012903022316318133,0.0,0.0
100,0.01082156491894787,0.005789448032883408,0.03265817432955788,0.0,0.0
100,0.005287216550227488,0.006271800175645504,0.010034769963732528,0.0,0.0
100,0.003918223122939491,0.009101343927797994,0.002145437511211702,0.0,0.0
100,0.0018326416424844852,0.023074421817022475,0.033445042694132836,0.0,0.0
100,0.0018318576398428784,0.0016290403108004516,0.007524212986399567,0.0,0.1
100,0.0004067576525552736,0.01047879156556233,0.010591613715895965,0.0,0.05
100,0.002551127233759271,0.01346568337137546,0.0014598233470169992,0.0,0.0
100,0.0024357086435881758,0.044907993638491316,0.0035580061053290817,0.05,0.0
100,0.023094917406124977,0.014490378031373534,0.013162968181984317,0.0,0.0
100,0.002602219789459117,0.020844923010195013,0.010969759811884557,0.05,0.0
100,0.002300832770016284,0.00949924589150397,0.03757903091637871,0.0,0.05
100,0.015489560000436216,0.004986004986492716,0.016272065945189224,0.0,0.0
100,0.0021318229784208394,0.008497420545688469,0.002630449120280528,0.0,0.0
100,0.0009422124749513325,0.006771609511658544,0.008980925898208524,0.0,0.0
100,0.0009444043903654155,0.014808341639002336,0.009512120441406187,0.05,0.1
100,0.0026206688789096482,0.003906377571549889,0.0003351698959160571,0.0,0.0
100,0.022576462628374545,0.02125488779190702,0.025575748259438036,0.0,0.0
100,0.010452400166683867,0.003835779485631647,0.008160963384575372,0.0,0.05
100,0.00823599431360488,0.0063978215863944796,0.009133874559855116,0.0,0.0
100,0.018141553267179998,0.017130539697577093,0.0021966160476501817,0.0,0.0
100,0.0020727763735494623,0.002124999361910893,0.0010609997097876184,0.0,0.0
100,0.013035477729587994,0.015739688076607628,0.00036248890172987876,0.0,0.0
100,0.028947386093095172,0.043332959587267315,0.05221253162563976,0.0,0.0
100,0.012474672440083217,0.02442037084058609,0.006070213221816967,0.0,0.0
100,0.010975125363113746,0.018968839788883467,0.0004773827722367278,0.05,0.05
100,0.003629848764887107,0.0022164196673449964,3.35842902851443e-05,0.2,0.15
100,0.00332640455916927,0.0030315923836241924,0.0007547726359704532,0.0,0.0
100,0.015882771693682147,0.010768373458835087,0.01145931141781223,0.0,0.0
100,0.028290222833519216,0.004423485065582128,0.017266851172720737,0.0,0.05
100,0.007401186490868719,0.0017623077599346895,0.0041288907214241865,0.0,0.0
100,0.002988212099312889,0.003687831427583233,0.039855611222679256,0.0,0.1
100,0.013381232504561032,0.005437846550634471,0.007114321976415148,0.0,0.05
100,0.022855359545223938,0.021063649534449867,0.0008738930108013692,0.0,0.05
100,0.02732810221623444,0.01766382698510063,0.03722242251583326,0.05,0.0
100,0.0014418796150261826,0.03776315757065525,0.007986302354641926,0.05,0.0
100,0.013801606176650105,0.017552566188496464,0.00689103834956069,0.0,0.05
100,0.0015687963157577757,0.005501166107355219,0.03650499656572087,0.0,0.15
100,0.0001267346293257579,0.014387834342288767,0.02670377739193268,0.0,0.1
100,0.012191947210252822,0.01125869326440383,0.03385050661155268,0.0,0.05
100,0.001987515124860926,0.0010504657926554278,0.00823649661264396,0.0,0.0
100,0.0002486032804887837,0.001257579737382892,0.018140429346604366,0.0,0.05
